འཕགས་པ་བྱམས་པས་ཞུས་པ་ཞེས་བྱ་བ་	The Question of Maitreya
ཚེ་དང་ལྡན་པ་རི་རྒྱལ་དང་།	Parvatarāja,
ཚེ་དང་ལྡན་པ་དགའ་བོ་དང་།	Nanda,
ཚེ་དང་ལྡན་པ་ཉེ་དགའ་དང་།	Upananda,
ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་དང་།	Ānanda,
ཚེ་དང་ལྡན་པ་སྒྲ་གཅན་ཟིན་དང་།	Rāhula,
དེ་དག་ལ་སོགས་པ་	and so on.
དགེ་སློང་ལྔ་བརྒྱ་ཙམ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ།	together with a great saṅgha of about 500 monks,
།བྱམས་པ་ལ་སོགས་པ་	Maitreya and
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མངོན་པར་ཤེས་པ་མངོན་པར་ཤེས་པ་ཁྲི་དང་ཡང་ཐབས་ཅིག་ལ་	10,000 other bodhisattva mahāsattvas endowed with clairvoyance had also assembled there.
འདི་ལྟ་སྟེ།	These included
བྱང་ཆུབ་སེམས་དཔའ་བློ་གྲོས་འཕེལ་དང་།	the bodhisattvas Vardhamānamati,
བྱང་ཆུབ་སེམས་དཔའ་བློ་གྲོས་བཟང་དང་།	Sumati,
བྱང་ཆུབ་སེམས་དཔའ་བློ་གྲོས་བརྟན་དང་།	Sthiramati,
བློ་གྲོས་ཡངས་པ་དང་།	Viśālamati,
སྤོབས་པ་བརྩེགས་དང་།	Pratibhānakūṭa,
སྤྱན་རས་གཟིགས་དབང་ཕྱུག་དང་།	Avalokiteśvara,
མཐུ་ཆེན་ཐོབ་དང་།	Mahāsthāmaprāpta,
ཏོག་དཔལ་དང་།	Kusumaśrī,
འཇམ་དཔལ་དང་།	Mañjuśrī,
མངོན་པར་ཤེས་པའི་མེ་ཏོག་ཤིན་ཏུ་རྒྱས་པ་དང་།	Abhijñāpuṣpasuparipūrṇa,
དམིགས་པ་མེད་པ་ཡིད་ལ་བྱེད་པ་དང་།	Anupalambhamanasikāra,
དད་ལྡན་དང་།	Prasādavat,
རིན་པོ་ཆེའི་ཏོག་དང་།	Ratnaketu,
དབང་པོའི་ལྷ་དང་།	Indradeva,
ཆུ་ལྷ་དང་།	Varuṇadeva,
སྒྲ་དབྱངས་སྙན་དང་།	Mṛdusvara,
ཞིང་རྣམ་པར་སྦྱོང་དང་།	Kṣetraviśodhana,
ལྷུན་པོ་བརྩེགས་དང་།	Merukūṭa,
སྤོབས་པ་ཕུན་སུམ་ཚོགས་དང་།	Pratibhānasaṃpad,
དབང་པོའི་དཔལ་དང་།	Indraśrī,
ས་འཛིན་དང་།	Nimiṃdhara,
སེམས་ཅན་དམྱལ་བ་སྐེམས་དང་།	Scourer of the Hell-Dwellers,
ངན་སོང་སྤོང་དང་།	Abandoner of Unfavorable Rebirths,
རིན་ཆེན་ཟེ་བ་ཅན་དང་དེ་དག་ལ་སོགས་པ་	Ratnakesarin and others.
དེ་ནས་བཅོམ་ལྡན་འདས་	The Blessed One,
བྱང་ཆུབ་སེམས་དཔའ་ཁྲི་དང་ཐབས་ཅིག་སྟེ།འཁོར་བརྒྱ་སྟོང་དུ་མས་ཡོངས་སུ་བསྐོར་ཅིང་	surrounded by this retinue of many hundreds of thousands,
མདུན་གྱིས་བལྟས་ནས་	surveyed those before him,
ཆོས་སྟོན་ཏོ།	and taught the Dharma.
།དེའི་ཚེ་	At that time,
བྱང་ཆུབ་སེམས་དཔའ་བྱམས་པ་འཁོར་དེ་ཉིད་དུ་འདུས་པར་གྱུར་ཏེ་འདུག་གོ	the bodhisattva Maitreya was present in that very retinue.
།དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་བྱམས་པས་བྱང་ཆུབ་སེམས་དཔའི་འཁོར་ཆེན་པོ་དེ་འདུས་པར་རིག་ནས་སྟན་ལས་ལངས་ཏེ།	He surveyed the great assembly of bodhisattvas, rose from his seat,
བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་	draped his upper shawl over one shoulder,
པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ།	set his right knee on the ground, and
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་	to the Blessed One.
ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས།	paid homage with palms joined
བཅོམ་ལྡན་འདས་ལ་	Blessed One,
འདི་སྐད་ཅེས་གསོལ་ཏོ།	He asked the
།གལ་ཏེ་ཞུས་ནས་ཞུ་བ་ལུང་བསྟན་པའི་སླད་དུ་བཅོམ་ལྡན་འདས་ཀྱིས་བདག་ལ་སྐབས་ཕྱེ་ན	“Would the Blessed One, if he has time, please answer a certain question that I would like to put to the
་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ལ་བདག་ཕྱོགས་འགའ་ཞིག་ཞུའོ།	Tathāgata, the Arhat, the completely and perfectly enlightened Buddha?”
།དེ་སྐད་ཅེས་གསོལ་པ་དང་།	then replied to the
བཅོམ་ལྡན་འདས་ཀྱིས་	The Blessed One
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ།	bodhisattva mahāsattva Maitreya, “Maitreya, the
དེ་བཞིན་གཤེགས་པས་རྟག་ཏུ་སྐབས་ཕྱེས།	Tathāgata always has time to answer such questions.
བྱམས་པ་ཁྱོད་ཅི་དང་ཅི་འདོད་པ་དྲིས་ཤིག་དང་། དྲིས་པ་དེ་དང་དེའི་ལུང་བསྟན་པས།	Ask whatever you wish, Maitreya.
།བྱམས་པ་དྲི་བ་ལུང་བསྟན་པའི་ཕྱིར། སེམས་རངས་པར་བྱའོ།	What I shall say in response to your question will cause you to rejoice.”
།དེ་ནས་	So
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པས་	the bodhisattva mahāsattva Maitreya
འདི་སྐད་ཅེས་གསོལ་ཏོ།	asked
བཅོམ་ལྡན་འདས་ལ་	the Blessed One,
།བཅོམ་ལྡན་འདས་	“Blessed One,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་དུ་དང་ལྡན་ན་ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	how many qualities does a bodhisattva need to possess in order to abandon all evil rebirths and
སྡིག་པའི་གྲོགས་པོའི་སུག་པར་མཆི་བར་མི་འགྱུར་ལ།	not fall into the clutches of sinful associates,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་བ་ལགས།	but swiftly realize supreme, perfect enlightenment and become a buddha?”
བཅོམ་ལྡན་འདས་ཀྱིས་	The Blessed One
དེ་སྐད་ཅེས་གསོལ་པ་དང་།	answered
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་ལ་	bodhisattva mahāsattva Maitreya,
།བྱམས་པ་	“Maitreya,
ཁྱོད་ནི་འདི་ལྟར་སྔོན་གྱི་རྒྱལ་བ་ལ་ལྷག་པར་བྱ་བ་བྱས་པ།	you have served the victorious ones of the past,
འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ།	answered the
དགེ་བའི་རྩ་བ་བསྐྱེད་པ།	cultivated the roots of virtue,
ཚེ་རབས་དྲན་པ།	recalled your past lives,
སྤོབས་པ་ཐོབ་པ།	acquired eloquence, and
ཡུན་རིང་པོ་ནས་ཚངས་པར་སྤྱོད་པ་སྤྱད་པ་སྟེ།	for a long time, lived chastely.
བྱམས་པ་ཁྱོད་སྐྱེ་བོ་མང་པོ་ལ་ཕན་པ་དང་།	Maitreya, you work for the benefit of many people,
སྐྱེ་བོ་མང་པོ་ལ་བདེ་བ་དང་།	bring happiness to many people,
འཇིག་རྟེན་ལ་སྙིང་བརྩེ་བ་དང་།	and are compassionate toward the world.
སྐྱེ་བོ་ཕལ་པོ་ཆེ་དང་།	and well-being to ordinary beings,
ལྷ་དང་མི་རྣམས་ཀྱི་དོན་དང་།	gods, and men,
ཕན་པ་དང་།	benefit,
བདེ་བ་དང་།	You live to bring welfare,
བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་པའི་	the vehicle of the bodhisattvas.
རིགས་ཀྱི་བུ་དང་།རིགས་ཀྱི་བུ་མོ་ད་ལྟར་གྱི་ང་།མ་འོངས་པ་རྣམས་	and to assist the noble sons and daughters, present and future, who belong to
ཡོངས་སུ་གཟུང་བའི་ཕྱིར་ཞུགས་ནས་ཁྱོད་དེ་བཞིན་གཤེགས་པ་ལ་དོན་འདི་འདྲི་བར་སེམས་པ་ལེགས་སོ་ལེགས་སོ།	It is indeed good that you have thought of asking the Blessed One a question on this subject.
དེའི་ཕྱིར་	Therefore,
།བྱམས་པ་	Maitreya,
ལེགས་པར་རབ་ཏུ་ཉོན་ལ་	listen well and carefully,
ཡིད་ལ་ཟུང་ཤིག་དང་བཤད་དོ།	and retain all that I say in your mind.”
།བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པས་	The bodhisattva mahāsattva Maitreya
བཅོམ་ལྡན་འདས་ལ་ལེགས་སོ་ཞེས་གསོལ་ཏེ	assented to the Blessed One, and
་བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་པ་དང་།	listened as the Blessed One had instructed.
བཅོམ་ལྡན་འདས་ཀྱིས་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ།།	The Blessed One said,
བྱམས་པ་	“Maitreya,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་གཅིག་དང་ལྡན་ན་	if a bodhisattva possesses one single quality,
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths and
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ་	not fall into the clutches of sinful associates,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་སྟེ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
ཆོས་གཅིག་གང་ཞེ་ན།	What is that single quality?
འདི་ལྟ་སྟེ། ལྷག་པའི་བསམ་པ་ཕུན་སུམ་ཚོགས་པའི་བྱང་ཆུབ་ཀྱི་སེམས་ཏེ།	Having the altruistic intention of excellent bodhicitta.
བྱམས་པ་	Maitreya,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་གཅིག་པོ་དེ་དང་ལྡན་ན་	if a bodhisattva possesses this single quality,
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths and
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ་	not fall into the clutches of sinful associates,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱའོ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
གཞན་ཡང་	“Furthermore,
།བྱམས་པ་	Maitreya,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་གཉིས་དང་ལྡན་ན་	if a bodhisattva possesses two qualities,
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths and
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ་	not fall into the clutches of sinful associates,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་སྟེ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
གཉིས་གང་ཞེ་ན།	What two qualities?
འདི་ལྟ་སྟེ། ཞི་གནས་ཡོངས་སུ་ཚོལ་བ་དང་།	Thoroughly applying himself in calm abiding and
ལྷག་མཐོང་ལ་མཁས་པ་སྟེ།	developing skill in insight.
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་གཉིས་པོ་དེ་དག་དང་ལྡན་ན་	If a bodhisattva possesses these two qualities,
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths and
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ་	not fall into the clutches of sinful associates,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱའོ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
།བྱམས་པ་	“Furthermore,
གཞན་ཡང་	Maitreya,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་གསུམ་དང་ལྡན་ན་	if a bodhisattva possesses three qualities
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths and
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ་	not fall into the clutches of sinful associates,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་སྟེ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
གསུམ་གང་ཞེ་ན།	What three qualities?
འདི་ལྟ་སྟེ། སྙིང་རྗེ་ཆེན་པོ་ཐོབ་པ་དང་།	Attaining great compassion and
སྟོང་པ་ཉིད་ཀྱི་ཆོས་ངེས་པར་སེམས་པ་དང་།	having definitive understanding of the teaching of emptiness,
དེས་ཀྱང་རློམ་སེམས་མི་བྱེད་པ་སྟེ།	yet without being arrogant.
བྱམས་པ་	Maitreya,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་གསུམ་པོ་དེ་དག་དང་ལྡན་ན་	if a bodhisattva possesses these three qualities,
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths and
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ།	not fall into the clutches of sinful associates,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱའོ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
།བྱམས་པ་	Maitreya,
གཞན་ཡང་	“Furthermore,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་	if a bodhisattva possesses four qualities,
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths and
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ་	not fall into the clutches of sinful associates,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་སྟེ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
བཞི་གང་ཞེ་ན།	What four qualities?
འདི་ལྟ་སྟེ། ཚུལ་ཁྲིམས་ལ་གནས་པ་ཡིན།	Observing moral conduct,
ཆོས་ཐམས་ཅད་ལ་སོམ་ཉི་མེད་པ་ཡིན།	having no doubt about the whole of the Dharma, delighting in seclusion, and
དགོན་པ་ལ་མངོན་པར་དགའ་བ་ཡིན།	not wavering from the undertaking to which he has committed himself.
ཡང་དག་པར་ཞུགས་ཤིང་ཡང་དག་པར་བླངས་པ་ལས་མི་གཡོ་བ་ཡིན་ཏེ།	Maitreya,
བྱམས་པ་	if a bodhisattva possesses these four qualities,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་ན་	he will abandon all evil rebirths and
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	not fall into the clutches of sinful associates,
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ་	but swiftly realize supreme, perfect enlightenment and become a buddha.
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱའོ།	Maitreya,
།བྱམས་པ་	“Furthermore,
གཞན་ཡང་	if a bodhisattva possesses five qualities,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་ལྔ་དང་ལྡན་ན་	he will abandon all evil rebirths and
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	not fall into the clutches of sinful associates,
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ་མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་སྟེ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
ལྔ་གང་ཞེ་ན།	What five qualities?
འདི་ལྟ་སྟེ། སྟོང་པ་ཉིད་ལ་གནས་པ་དང་།	Dwelling in emptiness,
གཞན་དག་གི་འཁྲུལ་པ་མི་ཚོལ་བ་དང་།	not seeking the delusions of others,
བདག་ལྟ་རྟོག་པ་དང་།	investigating the self,
ཆོས་ལ་མངོན་པར་དགའ་བ་དང་།	delighting in the Dharma,
གཞན་ལ་ཕན་འདོགས་པར་ཞུགས་པ་ཡིན་ཏེ།	and being committed to helping others.
བྱམས་པ་	Maitreya,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་ལྔ་པོ་དེ་དག་དང་ལྡན་ན་	if a bodhisattva possesses these five qualities,
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths and
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ་	not fall into the clutches of sinful associates,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱའོ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
།བྱམས་པ་	Maitreya,
གཞན་ཡང་	“Furthermore,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་དྲུག་དང་ལྡན་ན	if a bodhisattva possesses six qualities,
་ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths and
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ	not fall into the clutches of sinful associates,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་སྟེ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
དྲུག་གང་ཞེ་ན།	What six qualities?
འདི་ལྟ་སྟེ། བརྐམ་པ་མེད་པ་ཡིན། སྡང་བ་མེད་པ་ཡིན། རྨོངས་པ་མེད་པ་ཡིན།	Being without attachment, aversion,and ignorance;
དྲིས་མ་ཐག་ཏུ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་ལན་ལྡོན་པ་ཡིན།	immediately answering questions correctly and properly;
བསྙེན་པར་དཀའ་བ་མེད་པ་ཡིན།	being tireless in his ritual observance;
སྟོང་པ་ཉིད་སྤྱོད་ཡུལ་བ་ཡིན་ཏེ།	and experiencing emptiness.
བྱམས་པ་	Maitreya,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་དྲུག་པོ་དེ་དག་དང་ལྡན་ན་	if a bodhisattva possesses these six qualities,
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths and
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ་	not fall into the clutches of sinful associates,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱའོ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
།བྱམས་པ་	Maitreya,
གཞན་ཡང་	“Furthermore,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བདུན་དང་ལྡན་ན་	if a bodhisattva possesses seven qualities,
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths and
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འ	not fall into the clutches of sinful associates,
གྲོ་ལ་མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་སྟེ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
བདུན་གང་ཞེ་ན།	What seven qualities?
འདི་ལྟ་སྟེ། དྲན་པ་ལ་མཁས་པ་ཡིན། ཆོས་ལ་མཁས་པ་ཡིན།	Being learned in mindfulness and in the Dharma.
བརྩོན་འགྲུས་བརྩམས་པ་ཡིན།	Being diligent in his undertakings,
དགའ་བ་ཐོབ་པ་ཡིན།	joyful,
ཤིན་ཏུ་སྦྱངས་པ་དང་ལྡན་པ་ཡིན།	mentally supple,
ཏིང་ངེ་འཛིན་ལ་མཁས་པ་ཡིན།	and skilled in meditative concentration and
ཤེས་རབ་ཀྱིས་རབ་ཏུ་དབྱེ་བ་ལ་མཁས་པ་ཡིན་ཏེ།	analysis through wisdom.
བྱམས་པ་	Maitreya,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བདུན་པོ་དེ་དག་དང་ལྡན་ན་	if a bodhisattva possesses these seven qualities,
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths and
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ་	not fall into the clutches of sinful associates,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱའོ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
།བྱམས་པ་	Maitreya,
གཞན་ཡང་	“Furthermore,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བརྒྱད་དང་ལྡན་ན་	if a bodhisattva possesses eight qualities,
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths and
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ་	not fall into the clutches of sinful associates,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་སྟེ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
བརྒྱད་གང་ཞེ་ན།	What eight qualities?
འདི་ལྟ་སྟེ། ཡང་དག་པའི་ལྟ་བ་ཅན་ཡིན།	Possessing right view,
ཡང་དག་པའི་རྟོག་པ་ཅན་ཡིན།	right thought,
ཡང་དག་པའི་ངག་ཅན་ཡིན།	right speech,
ཡང་དག་པའི་ལས་ཀྱི་མཐའ་ཅན་ཡིན།	right action,
ཡང་དག་པའི་འཚོ་བ་ཅན་ཡིན།	right livelihood,
ཡང་དག་པའི་རྩོལ་བ་ཅན་ཡིན།	right effort,
ཡང་དག་པའི་དྲན་པ་ཅན་ཡིན།	right mindfulness,
ཡང་དག་པའི་ཏིང་ངེ་འཛིན་ཅན་ཡིན་ཏེ།	and right concentration.
བྱམས་པ་	Maitreya,
ཆོས་བརྒྱད་པོ་དེ་དག་དང་ལྡན་ན་	if a bodhisattva possesses these eight qualities,
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths and
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ་	not fall into the clutches of sinful associates,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱའོ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
།བྱམས་པ་	Maitreya,
གཞན་ཡང་	“Furthermore,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་དགུ་དང་ལྡན་ན་	if a bodhisattva possesses nine qualities,
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths and
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ་	not fall into the clutches of sinful associates,
